ms,degC
27965,23.80
29989,23.80
32013,23.80
-31500,24.10
-29477,24.50
-27455,24.80
-25433,25.30
-23408,25.80
-21386,26.20
-19363,26.70
-17339,27.10
-15316,27.60
-13294,28.00
-11272,28.10
-9249,28.50
-7227,28.90
-5202,29.30
-3179,29.30
-1157,29.80
866,30.20
2888,30.20
4912,30.80
6935,30.80
8957,31.30
10980,31.30
13004,31.80
15027,31.80
17049,31.80
19072,32.30
21096,32.30
23119,32.30
25142,32.80
27164,32.80
29187,32.80
31210,33.20
-32302,33.30
-30279,33.30
-28257,33.30
-26234,33.30
-24210,33.80
-22188,33.80
-20165,33.80
-18143,33.80
-16118,33.80
-14096,34.20
-12073,34.20
-10051,34.20
-8029,34.20
-6005,34.20
-3981,34.20
-1958,34.20
64,34.20
2086,34.30
4109,34.70
6133,34.70
8156,34.70
10178,34.70
12200,34.70
14225,34.70
16248,34.70
18271,34.70
20293,34.70
22318,34.70
24340,34.70
26362,35.20
28385,35.20
30407,35.20
32432,35.20
-31081,35.20
-29059,35.20
-27036,35.20
-25014,35.20
-22989,35.20
-20967,35.20
-18944,35.20
-16922,35.20
-14898,35.30
-12875,35.60
-10853,35.60
-8830,35.60
-6806,35.60
-4784,35.60
-2761,35.60
-739,35.60
1284,35.60
3308,35.60
5330,35.60
7353,35.60
9377,35.60
11400,35.60
13422,35.60
15444,35.60
17469,35.60
19491,35.80
21514,36.30
23538,36.30
25561,36.30
27583,36.30
29605,36.30
31630,36.30
-31884,36.30
-29861,36.30
-27839,36.30
-25815,36.30
-23792,36.30
-21770,36.30
-19745,36.30
-17723,36.30
-15700,36.30
